N	CPU	SCAN	FULL
177000	0.000936	0.000192	0.000921
178000	0.000916	0.000194	0.000872
179000	0.000925	0.000193	0.000889
180000	0.000963	0.000266	0.000960
181000	0.001001	0.000196	0.000991
182000	0.000930	0.000195	0.000938
183000	0.000933	0.000222	0.000941
184000	0.001104	0.000203	0.000947
185000	0.000899	0.000198	0.000942
186000	0.000913	0.000219	0.000893
187000	0.001000	0.000195	0.000899
188000	0.000919	0.000211	0.001133
189000	0.000979	0.000179	0.001118
190000	0.000981	0.000266	0.001413
191000	0.001034	0.000234	0.000973
192000	0.000930	0.000195	0.000939
193000	0.001202	0.000201	0.001003
194000	0.001053	0.000199	0.000926
195000	0.000953	0.000199	0.000942
196000	0.001085	0.000203	0.001033
197000	0.001012	0.000235	0.001006
198000	0.001006	0.000203	0.000946
199000	0.001037	0.000205	0.000940
200000	0.001149	0.000222	0.000958
201000	0.000986	0.000263	0.001259
202000	0.001040	0.000205	0.001137
203000	0.000999	0.000204	0.001008
204000	0.001001	0.000209	0.001016
205000	0.001123	0.000205	0.000965
206000	0.001149	0.000212	0.001049
207000	0.001342	0.000179	0.001382
208000	0.001062	0.000199	0.001190
209000	0.001031	0.000225	0.001043
210000	0.001098	0.000208	0.000966
211000	0.001102	0.000236	0.001011
212000	0.001072	0.000211	0.001007
213000	0.001091	0.000212	0.001062
214000	0.001038	0.000316	0.001310
215000	0.001161	0.000213	0.001001
216000	0.001053	0.000223	0.001000
217000	0.001277	0.000212	0.001055
218000	0.001413	0.000214	0.001069
219000	0.001171	0.000211	0.001041
220000	0.001295	0.000216	0.001190
221000	0.001085	0.000215	0.001031
222000	0.001071	0.000234	0.001078
223000	0.001171	0.000189	0.001328
224000	0.001163	0.000216	0.001068
225000	0.001393	0.000217	0.001057
226000	0.001162	0.000219	0.001084
227000	0.001685	0.000434	0.001320
228000	0.001117	0.000220	0.001088
229000	0.001152	0.000221	0.001264
230000	0.001182	0.000218	0.001060
231000	0.001468	0.000248	0.001112
232000	0.001204	0.000225	0.001230
233000	0.001161	0.000222	0.001104
234000	0.001146	0.000229	0.001158
235000	0.001157	0.000221	0.001118
236000	0.001192	0.000222	0.001081
237000	0.001239	0.000223	0.001148
238000	0.001262	0.000243	0.001110
239000	0.001342	0.000273	0.001381
240000	0.001266	0.000236	0.001195
241000	0.001234	0.000247	0.001206
242000	0.001337	0.000223	0.001167
243000	0.001525	0.000225	0.001201
