ArraySize	BinarySumTime	BinarySumTotal	ParallelSumTime	ParallelSumTotal	FastSumTime	FastSumTotal	BinParDiff	BinFastDiff	ParFastDiff
5700000	0.0082531	1.42477e+07	0.00189686	1.42477e+07	0.0018332	1.42477e+07	1.71363e-07	1.69501e-07	-1.86265e-09
5800000	0.00848603	1.44961e+07	0.00192881	1.44961e+07	0.00187206	1.44961e+07	7.45058e-09	7.45058e-09	0
5900000	0.00862217	1.47473e+07	0.00200105	1.47473e+07	0.00188994	1.47473e+07	-2.27243e-07	-2.27243e-07	0
6000000	0.00873995	1.50033e+07	0.00199318	1.50033e+07	0.00192595	1.50033e+07	4.787e-07	4.787e-07	0
6100000	0.00899196	1.52435e+07	0.00201893	1.52435e+07	0.00199294	1.52435e+07	4.76837e-07	4.787e-07	1.86265e-09
6200000	0.00916004	1.54995e+07	0.00201702	1.54995e+07	0.0020318	1.54995e+07	3.35276e-07	3.35276e-07	0
6300000	0.00937295	1.57497e+07	0.00205112	1.57497e+07	0.00213385	1.57497e+07	5.58794e-09	5.58794e-09	0
6400000	0.0095551	1.59985e+07	0.00213504	1.59985e+07	0.00207591	1.59985e+07	-1.41561e-07	-1.41561e-07	0
6500000	0.00972795	1.62491e+07	0.00219417	1.62491e+07	0.0021019	1.62491e+07	3.83705e-07	3.83705e-07	0
6600000	0.00986886	1.65013e+07	0.00215006	1.65013e+07	0.00223398	1.65013e+07	2.86847e-07	2.86847e-07	0
6700000	0.00999594	1.67552e+07	0.00219202	1.67552e+07	0.00223613	1.67552e+07	-1.86265e-09	-1.86265e-09	0
6800000	0.0102859	1.69991e+07	0.00221395	1.69991e+07	0.00222301	1.69991e+07	4.32134e-07	4.32134e-07	0
6900000	0.01034	1.72474e+07	0.00231481	1.72474e+07	0.00221205	1.72474e+07	4.61936e-07	4.65661e-07	3.72529e-09
7000000	0.0104809	1.74967e+07	0.00227809	1.74967e+07	0.00232601	1.74967e+07	-5.02914e-07	-5.06639e-07	-3.72529e-09
7100000	0.0106959	1.7753e+07	0.00234604	1.7753e+07	0.00231624	1.7753e+07	2.6077e-07	2.57045e-07	-3.72529e-09
7200000	0.0111849	1.79954e+07	0.00239992	1.79954e+07	0.00221419	1.79954e+07	-3.27826e-07	-3.27826e-07	0
7300000	0.0119162	1.82527e+07	0.00357294	1.82527e+07	0.00294995	1.82527e+07	7.82311e-08	7.82311e-08	0
7400000	0.0120811	1.85018e+07	0.00364208	1.85018e+07	0.00302505	1.85018e+07	9.68575e-08	9.68575e-08	0
7500000	0.012234	1.87432e+07	0.00360799	1.87432e+07	0.00304604	1.87432e+07	1.78814e-07	1.82539e-07	3.72529e-09
