ArraySize	BinarySumTime	BinarySumTotal	ParallelSumTime	ParallelSumTotal	FastSumTime	FastSumTotal	BinParDiff	BinFastDiff	ParFastDiff
1000000	0.00306106	2.50003e+06	0.000184774	2.50003e+06	0.00015521	2.50003e+06	1.35042e-08	1.39698e-08	4.65661e-10
1100000	0.00250602	2.74929e+06	0.00019908	2.74929e+06	0.000173092	2.74929e+06	1.62981e-08	1.62981e-08	0
1200000	0.00144601	3.00025e+06	0.000211954	3.00025e+06	0.000189066	3.00025e+06	-8.84756e-09	-8.84756e-09	0
1300000	0.00138211	3.24947e+06	0.000211954	3.24947e+06	0.000206947	3.24947e+06	8.3819e-09	8.84756e-09	4.65661e-10
1400000	0.00158095	3.50016e+06	0.000235081	3.50016e+06	0.000215054	3.50016e+06	1.21072e-08	1.21072e-08	0
1500000	0.00154805	3.7517e+06	0.000242949	3.7517e+06	0.000230074	3.7517e+06	-1.11759e-08	-1.16415e-08	-4.65661e-10
1600000	0.001647	3.99833e+06	0.000257015	3.99833e+06	0.000246048	3.99833e+06	3.72529e-09	4.19095e-09	4.65661e-10
1700000	0.00181603	4.25074e+06	0.000277996	4.25074e+06	0.000262976	4.25074e+06	-3.72529e-09	-3.72529e-09	0
1800000	0.00190902	4.50223e+06	0.000296831	4.50223e+06	0.000275135	4.50223e+06	2.79397e-08	2.79397e-08	0
1900000	0.00201511	4.74753e+06	0.000307798	4.74753e+06	0.000291109	4.74753e+06	-1.76951e-08	-1.76951e-08	0
2000000	0.00209308	5.00233e+06	0.000325918	5.00233e+06	0.000308037	5.00233e+06	2.23517e-08	2.14204e-08	-9.31323e-10
2100000	0.00224495	5.25232e+06	0.000344992	5.25232e+06	0.000320911	5.25232e+06	-5.58794e-09	-5.58794e-09	0
2200000	0.00232196	5.50016e+06	0.000355959	5.50016e+06	0.000339031	5.50016e+06	6.51926e-09	7.45058e-09	9.31323e-10
2300000	0.00241399	5.74745e+06	0.000371933	5.74745e+06	0.000355005	5.74745e+06	-3.72529e-09	-3.72529e-09	0
