ArraySize	BinarySumTime	BinarySumTotal	ParallelSumTime	ParallelSumTotal	FastSumTime	FastSumTotal	BinParDiff	BinFastDiff	ParFastDiff
1000000	0.00302196	2.50003e+06	0.000553846	2.50003e+06	0.000530005	2.50003e+06	3.81842e-08	3.81842e-08	0
1100000	0.00287008	2.74929e+06	0.000584841	2.74929e+06	0.000576973	2.74929e+06	-4.51691e-08	-4.51691e-08	0
1200000	0.00199103	3.00025e+06	0.000635147	3.00025e+06	0.000628948	3.00025e+06	2.468e-08	2.468e-08	0
1300000	0.00200701	3.24947e+06	0.000684977	3.24947e+06	0.00067997	3.24947e+06	8.6613e-08	8.6613e-08	0
1400000	0.00221395	3.50016e+06	0.000731945	3.50016e+06	0.000731945	3.50016e+06	1.05705e-07	1.05705e-07	0
1500000	0.00226092	3.7517e+06	0.000785112	3.7517e+06	0.00078392	3.7517e+06	3.72529e-08	3.72529e-08	0
1600000	0.00248003	3.99833e+06	0.000838041	3.99833e+06	0.000835896	3.99833e+06	6.28643e-08	6.28643e-08	0
1700000	0.00251698	4.25074e+06	0.00089097	4.25074e+06	0.000888109	4.25074e+06	4.65661e-08	4.65661e-08	0
1800000	0.00259709	4.50223e+06	0.000943899	4.50223e+06	0.000940084	4.50223e+06	-1.71363e-07	-1.71363e-07	0
1900000	0.00287986	4.74753e+06	0.000996113	4.74753e+06	0.000990868	4.74753e+06	1.76951e-08	1.76951e-08	0
2000000	0.00299287	5.00233e+06	0.00104904	5.00233e+06	0.00104403	5.00233e+06	-1.21072e-08	-1.21072e-08	0
2100000	0.00317192	5.25232e+06	0.00110507	5.25232e+06	0.0010941	5.25232e+06	-2.04891e-08	-2.04891e-08	0
2200000	0.00335717	5.50016e+06	0.00115681	5.50016e+06	0.00114703	5.50016e+06	7.26432e-08	7.26432e-08	0
2300000	0.00339389	5.74745e+06	0.00120616	5.74745e+06	0.00120091	5.74745e+06	2.42144e-08	2.42144e-08	0
2400000	0.00357699	5.99537e+06	0.0012629	5.99537e+06	0.00125003	5.99537e+06	1.33179e-07	1.33179e-07	0
2500000	0.00377512	6.2474e+06	0.00134087	6.2474e+06	0.00130701	6.2474e+06	1.39698e-08	1.39698e-08	0
2600000	0.00394011	6.50231e+06	0.00142479	6.50231e+06	0.00135612	6.50231e+06	3.53903e-08	3.53903e-08	0
2700000	0.0042429	6.75321e+06	0.00144911	6.75321e+06	0.00141382	6.75321e+06	1.21072e-08	1.21072e-08	0
2800000	0.00432611	7.00317e+06	0.00151587	7.00317e+06	0.00147605	7.00317e+06	-7.35745e-08	-7.35745e-08	0
2900000	0.00451183	7.24932e+06	0.00161099	7.24932e+06	0.00152922	7.24932e+06	-1.86265e-08	-1.86265e-08	0
3000000	0.00467014	7.49921e+06	0.00164199	7.49921e+06	0.00159192	7.49921e+06	-7.82311e-08	-7.82311e-08	0
3100000	0.00493598	7.74886e+06	0.00172091	7.74886e+06	0.00165009	7.74886e+06	-1.50874e-07	-1.50874e-07	0
3200000	0.00507116	8.00172e+06	0.00177884	8.00172e+06	0.00171709	8.00172e+06	-3.35276e-08	-3.35276e-08	0
3300000	0.00517392	8.24853e+06	0.00185299	8.24853e+06	0.00177598	8.24853e+06	-1.49012e-07	-1.49012e-07	0
3400000	0.00536394	8.50254e+06	0.00192189	8.50254e+06	0.00184107	8.50254e+06	9.68575e-08	9.68575e-08	0
3500000	0.00547409	8.7514e+06	0.00200605	8.7514e+06	0.00197792	8.7514e+06	-2.23517e-08	-2.23517e-08	0
3600000	0.00566983	9.00071e+06	0.00208902	9.00071e+06	0.00198483	9.00071e+06	3.25963e-07	3.25963e-07	0
3700000	0.00588584	9.25165e+06	0.0021708	9.25165e+06	0.00206804	9.25165e+06	2.51457e-07	2.51457e-07	0
3800000	0.00608516	9.50508e+06	0.00227594	9.50508e+06	0.00214505	9.50508e+06	1.86265e-08	1.86265e-08	0
3900000	0.006145	9.75055e+06	0.00232792	9.75055e+06	0.00220513	9.75055e+06	-5.64381e-07	-5.64381e-07	0
4000000	0.00639987	1.00012e+07	0.00239611	1.00012e+07	0.00229096	1.00012e+07	4.13507e-07	4.13507e-07	0
4100000	0.00663805	1.02465e+07	0.00251508	1.02465e+07	0.00236487	1.02465e+07	1.86265e-07	1.86265e-07	0
4200000	0.00664496	1.0503e+07	0.00257301	1.0503e+07	0.00242615	1.0503e+07	-1.28523e-07	-1.28523e-07	0
4300000	0.00684381	1.07432e+07	0.00265598	1.07432e+07	0.00252414	1.07432e+07	5.62519e-07	5.62519e-07	0
4400000	0.0071609	1.09997e+07	0.00272703	1.09997e+07	0.00259805	1.09997e+07	1.67638e-07	1.67638e-07	0
4500000	0.00747204	1.12478e+07	0.00283694	1.12478e+07	0.002666	1.12478e+07	5.21541e-08	5.21541e-08	0
4600000	0.00750685	1.15046e+07	0.00288892	1.15046e+07	0.00280309	1.15046e+07	-9.42498e-07	-9.42498e-07	0
4700000	0.00768089	1.17518e+07	0.00296402	1.17518e+07	0.0028019	1.17518e+07	4.97326e-07	4.97326e-07	0
4800000	0.00781322	1.2003e+07	0.00305295	1.2003e+07	0.00295711	1.2003e+07	4.39584e-07	4.39584e-07	0
4900000	0.00809503	1.22489e+07	0.00311995	1.22489e+07	0.00294304	1.22489e+07	5.69969e-07	5.69969e-07	0
5000000	0.00828481	1.25003e+07	0.00324392	1.25003e+07	0.003021	1.25003e+07	-2.06754e-07	-2.06754e-07	0
5100000	0.00843	1.27474e+07	0.0033412	1.27474e+07	0.003088	1.27474e+07	1.86265e-08	1.86265e-08	0
5200000	0.00847912	1.30005e+07	0.00337982	1.30005e+07	0.00315499	1.30005e+07	-1.02445e-07	-1.02445e-07	0
5300000	0.00875282	1.32425e+07	0.0034492	1.32425e+07	0.00330997	1.32425e+07	7.45058e-07	7.45058e-07	0
5400000	0.00901484	1.35005e+07	0.00348115	1.35005e+07	0.00330305	1.35005e+07	2.47732e-07	2.47732e-07	0
5500000	0.00902987	1.37444e+07	0.00358701	1.37444e+07	0.00335407	1.37444e+07	2.62633e-07	2.62633e-07	0
5600000	0.00918698	1.40047e+07	0.00366282	1.40047e+07	0.00349712	1.40047e+07	-1.37836e-07	-1.37836e-07	0
5700000	0.00953102	1.42477e+07	0.00377584	1.42477e+07	0.00350499	1.42477e+07	7.45058e-08	7.45058e-08	0
5800000	0.0095911	1.44961e+07	0.00381804	1.44961e+07	0.00355983	1.44961e+07	-6.81728e-07	-6.81728e-07	0
5900000	0.00982213	1.47473e+07	0.00388384	1.47473e+07	0.00362802	1.47473e+07	-6.01634e-07	-6.01634e-07	0
