ArraySize	BinarySumTime	BinarySumTotal	ParallelSumTime	ParallelSumTotal	FastSumTime	FastSumTotal	BinParDiff	BinFastDiff	ParFastDiff
1000000	0.00508499	2.50003e+06	8.4877e-05	2.50003e+06	7.00951e-05	2.50003e+06	0	0	0
1100000	0.00268793	2.74929e+06	0.000104904	2.74929e+06	7.10487e-05	2.74929e+06	1.39698e-09	2.32831e-09	9.31323e-10
1200000	0.00165606	3.00025e+06	0.000119925	3.00025e+06	7.9155e-05	3.00025e+06	-9.31323e-10	-1.39698e-09	-4.65661e-10
1300000	0.001755	3.24947e+06	0.000112057	3.24947e+06	8.4877e-05	3.24947e+06	0	-4.65661e-10	-4.65661e-10
1400000	0.00185299	3.50016e+06	0.00010705	3.50016e+06	9.01222e-05	3.50016e+06	-4.19095e-09	-4.19095e-09	0
1500000	0.001894	3.7517e+06	0.000103951	3.7517e+06	9.48906e-05	3.7517e+06	6.51926e-09	6.98492e-09	4.65661e-10
1600000	0.00193596	3.99833e+06	0.000118017	3.99833e+06	0.000100136	3.99833e+06	-2.79397e-09	-2.32831e-09	4.65661e-10
1700000	0.00201511	4.25074e+06	0.000120878	4.25074e+06	0.000106096	4.25074e+06	-5.58794e-09	-4.65661e-09	9.31323e-10
1800000	0.00212002	4.50223e+06	0.000128984	4.50223e+06	0.000108957	4.50223e+06	4.65661e-09	4.65661e-09	0
1900000	0.00218701	4.74753e+06	0.00014019	4.74753e+06	0.000118017	4.74753e+06	-9.31323e-10	-9.31323e-10	0
2000000	0.002352	5.00233e+06	0.000136852	5.00233e+06	0.00012207	5.00233e+06	8.3819e-09	8.3819e-09	0
2100000	0.00248694	5.25232e+06	0.000160933	5.25232e+06	0.000127077	5.25232e+06	1.39698e-08	1.21072e-08	-1.86265e-09
2200000	0.00258207	5.50016e+06	0.000154018	5.50016e+06	0.000132084	5.50016e+06	2.04891e-08	2.04891e-08	0
2300000	0.00271487	5.74745e+06	0.000165939	5.74745e+06	0.000133991	5.74745e+06	8.3819e-09	1.02445e-08	1.86265e-09
2400000	0.00282311	5.99537e+06	0.0001688	5.99537e+06	0.00014019	5.99537e+06	1.86265e-09	3.72529e-09	1.86265e-09
2500000	0.00301003	6.2474e+06	0.000174046	6.2474e+06	0.000146866	6.2474e+06	-7.45058e-09	-9.31323e-09	-1.86265e-09
2600000	0.00306106	6.50231e+06	0.000180006	6.50231e+06	0.000150919	6.50231e+06	1.02445e-08	1.11759e-08	9.31323e-10
2700000	0.0031538	6.75321e+06	0.000196218	6.75321e+06	0.000156879	6.75321e+06	-1.58325e-08	-1.67638e-08	-9.31323e-10
2800000	0.00331616	7.00317e+06	0.000189066	7.00317e+06	0.000159979	7.00317e+06	9.31323e-09	8.3819e-09	-9.31323e-10
2900000	0.00335097	7.24932e+06	0.00020504	7.24932e+06	0.000175953	7.24932e+06	-1.11759e-08	-9.31323e-09	1.86265e-09
3000000	0.00348091	7.49921e+06	0.000230074	7.49921e+06	0.000170946	7.49921e+06	-1.86265e-09	-9.31323e-10	9.31323e-10
3100000	0.00363183	7.74886e+06	0.000221014	7.74886e+06	0.000174999	7.74886e+06	1.21072e-08	1.11759e-08	-9.31323e-10
3200000	0.00369406	8.00172e+06	0.000225067	8.00172e+06	0.00018096	8.00172e+06	-1.11759e-08	-1.11759e-08	0
3300000	0.00384378	8.24853e+06	0.000262976	8.24853e+06	0.000185966	8.24853e+06	-1.86265e-09	-2.79397e-09	-9.31323e-10
3400000	0.00396109	8.50254e+06	0.00027895	8.50254e+06	0.000202894	8.50254e+06	-1.67638e-08	-1.86265e-08	-1.86265e-09
3500000	0.004107	8.7514e+06	0.000298023	8.7514e+06	0.000203133	8.7514e+06	-7.45058e-09	-9.31323e-09	-1.86265e-09
3600000	0.004179	9.00071e+06	0.000350952	9.00071e+06	0.000216007	9.00071e+06	1.11759e-08	9.31323e-09	-1.86265e-09
3700000	0.00431299	9.25165e+06	0.000388861	9.25165e+06	0.000246048	9.25165e+06	-3.72529e-09	-3.72529e-09	0
3800000	0.00443196	9.50508e+06	0.000435829	9.50508e+06	0.000257015	9.50508e+06	-2.23517e-08	-1.86265e-08	3.72529e-09
3900000	0.00450587	9.75055e+06	0.00051403	9.75055e+06	0.000272989	9.75055e+06	2.6077e-08	2.6077e-08	0
4000000	0.00462222	1.00012e+07	0.000565052	1.00012e+07	0.000312805	1.00012e+07	1.30385e-08	1.11759e-08	-1.86265e-09
4100000	0.00477195	1.02465e+07	0.00060606	1.02465e+07	0.000333071	1.02465e+07	-1.49012e-08	-1.49012e-08	0
4200000	0.00488687	1.0503e+07	0.000679016	1.0503e+07	0.000368118	1.0503e+07	4.09782e-08	4.09782e-08	0
4300000	0.00501299	1.07432e+07	0.000705957	1.07432e+07	0.000397921	1.07432e+07	2.79397e-08	2.79397e-08	0
4400000	0.00514698	1.09997e+07	0.00079298	1.09997e+07	0.000428915	1.09997e+07	-7.45058e-09	-7.45058e-09	0
4500000	0.00527692	1.12478e+07	0.000888109	1.12478e+07	0.000459909	1.12478e+07	1.86265e-09	0	-1.86265e-09
4600000	0.00540304	1.15046e+07	0.000938177	1.15046e+07	0.00049305	1.15046e+07	-1.30385e-08	-1.30385e-08	0
4700000	0.00550699	1.17518e+07	0.00102496	1.17518e+07	0.000528812	1.17518e+07	2.79397e-08	2.79397e-08	0
4800000	0.00564003	1.2003e+07	0.00104308	1.2003e+07	0.000552893	1.2003e+07	-2.79397e-08	-2.79397e-08	0
4900000	0.005723	1.22489e+07	0.00110412	1.22489e+07	0.000596046	1.22489e+07	-2.23517e-08	-2.6077e-08	-3.72529e-09
5000000	0.005867	1.25003e+07	0.00119901	1.25003e+07	0.000627995	1.25003e+07	1.49012e-08	1.49012e-08	0
5100000	0.00594592	1.27474e+07	0.00129414	1.27474e+07	0.000649929	1.27474e+07	-1.11759e-08	-1.30385e-08	-1.86265e-09
5200000	0.00611091	1.30005e+07	0.00133896	1.30005e+07	0.000669003	1.30005e+07	3.72529e-08	3.53903e-08	-1.86265e-09
5300000	0.00619698	1.32425e+07	0.00140882	1.32425e+07	0.000720978	1.32425e+07	4.84288e-08	4.84288e-08	0
5400000	0.00636506	1.35005e+07	0.00148702	1.35005e+07	0.00075984	1.35005e+07	3.72529e-09	3.72529e-09	0
5500000	0.00646305	1.37444e+07	0.00152993	1.37444e+07	0.000769854	1.37444e+07	2.79397e-08	3.35276e-08	5.58794e-09
5600000	0.00669599	1.40047e+07	0.00160289	1.40047e+07	0.000799179	1.40047e+07	-4.09782e-08	-4.28408e-08	-1.86265e-09
5700000	0.00668097	1.42477e+07	0.00162005	1.42477e+07	0.000854969	1.42477e+07	-2.79397e-08	-2.98023e-08	-1.86265e-09
5800000	0.006814	1.44961e+07	0.00170898	1.44961e+07	0.000860929	1.44961e+07	5.96046e-08	5.7742e-08	-1.86265e-09
5900000	0.00691295	1.47473e+07	0.00174022	1.47473e+07	0.000903845	1.47473e+07	-3.91155e-08	-3.53903e-08	3.72529e-09
6000000	0.00704002	1.50033e+07	0.00178504	1.50033e+07	0.000913143	1.50033e+07	-3.53903e-08	-3.53903e-08	0
6100000	0.00720692	1.52435e+07	0.00182104	1.52435e+07	0.000950098	1.52435e+07	9.31323e-09	1.30385e-08	3.72529e-09
6200000	0.00731993	1.54995e+07	0.00278401	1.54995e+07	0.00443411	1.54995e+07	-2.42144e-08	-2.04891e-08	3.72529e-09
6300000	0.00739789	1.57497e+07	0.00194907	1.57497e+07	0.0010159	1.57497e+07	-2.6077e-08	-2.6077e-08	0
6400000	0.00753713	1.59985e+07	0.00201201	1.59985e+07	0.00100994	1.59985e+07	-5.58794e-09	-5.58794e-09	0
6500000	0.00770998	1.62491e+07	0.00202394	1.62491e+07	0.00106692	1.62491e+07	7.82311e-08	7.82311e-08	0
6600000	0.00781488	1.65013e+07	0.00206399	1.65013e+07	0.00108814	1.65013e+07	-2.04891e-08	-2.23517e-08	-1.86265e-09
6700000	0.00794196	1.67552e+07	0.00210905	1.67552e+07	0.00110102	1.67552e+07	-5.40167e-08	-5.7742e-08	-3.72529e-09
6800000	0.00810409	1.69991e+07	0.00215101	1.69991e+07	0.00113106	1.69991e+07	4.47035e-08	4.84288e-08	3.72529e-09
6900000	0.00827193	1.72474e+07	0.00219011	1.72474e+07	0.00116992	1.72474e+07	3.72529e-09	3.72529e-09	0
7000000	0.00838304	1.74967e+07	0.00223494	1.74967e+07	0.00119996	1.74967e+07	7.45058e-09	7.45058e-09	0
7100000	0.0084939	1.7753e+07	0.00225592	1.7753e+07	0.00124788	1.7753e+07	-1.11759e-07	-1.15484e-07	-3.72529e-09
7200000	0.00863719	1.79954e+07	0.00223589	1.79954e+07	0.00126886	1.79954e+07	5.96046e-08	5.58794e-08	-3.72529e-09
7300000	0.008816	1.82527e+07	0.00235295	1.82527e+07	0.001297	1.82527e+07	-4.09782e-08	-4.09782e-08	0
7400000	0.00888395	1.85018e+07	0.002388	1.85018e+07	0.00137115	1.85018e+07	-4.84288e-08	-4.84288e-08	0
7500000	0.00901484	1.87432e+07	0.00239801	1.87432e+07	0.00140119	1.87432e+07	8.9407e-08	8.56817e-08	-3.72529e-09
7600000	0.00918102	1.89964e+07	0.00245905	1.89964e+07	0.00145602	1.89964e+07	5.21541e-08	5.21541e-08	0
7700000	0.00931716	1.9256e+07	0.00248885	1.9256e+07	0.00149918	1.9256e+07	1.86265e-08	1.86265e-08	0
7800000	0.009444	1.95004e+07	0.00252104	1.95004e+07	0.00151205	1.95004e+07	-3.72529e-08	-2.98023e-08	7.45058e-09
7900000	0.00967598	1.9757e+07	0.00256705	1.9757e+07	0.00156403	1.9757e+07	2.98023e-08	2.6077e-08	-3.72529e-09
8000000	0.00972104	2.00024e+07	0.00255489	2.00024e+07	0.00157118	2.00024e+07	-4.84288e-08	-4.84288e-08	0
8100000	0.00991488	2.0257e+07	0.00261402	2.0257e+07	0.00160503	2.0257e+07	5.21541e-08	5.21541e-08	0
8200000	0.0100591	2.05062e+07	0.00746608	2.05062e+07	0.00173998	2.05062e+07	3.35276e-08	2.6077e-08	-7.45058e-09
8300000	0.0159869	2.07523e+07	0.0028069	2.07523e+07	0.00166893	2.07523e+07	-2.98023e-08	-2.98023e-08	0
8400000	0.010185	2.09968e+07	0.00278187	2.09968e+07	0.00168014	2.09968e+07	-4.84288e-08	-4.84288e-08	0
8500000	0.0102048	2.12548e+07	0.00283694	2.12548e+07	0.00171399	2.12548e+07	-1.49012e-08	-2.23517e-08	-7.45058e-09
8600000	0.010345	2.14995e+07	0.00288796	2.14995e+07	0.00174594	2.14995e+07	-6.33299e-08	-6.70552e-08	-3.72529e-09
8700000	0.0105669	2.17382e+07	0.00291991	2.17382e+07	0.00174594	2.17382e+07	7.45058e-09	1.11759e-08	3.72529e-09
8800000	0.01072	2.20045e+07	0.00292397	2.20045e+07	0.00181293	2.20045e+07	7.45058e-08	7.82311e-08	3.72529e-09
8900000	0.0107338	2.22579e+07	0.0029192	2.22579e+07	0.00182199	2.22579e+07	-4.84288e-08	-5.21541e-08	-3.72529e-09
9000000	0.010895	2.2504e+07	0.00303197	2.2504e+07	0.0018971	2.2504e+07	-2.98023e-08	-2.98023e-08	0
9100000	0.011188	2.27559e+07	0.00307202	2.27559e+07	0.00192285	2.27559e+07	5.58794e-08	5.96046e-08	3.72529e-09
9200000	0.0111921	2.29887e+07	0.00314498	2.29887e+07	0.00192809	2.29887e+07	1.30385e-07	1.3411e-07	3.72529e-09
9300000	0.0112441	2.3254e+07	0.00314784	2.3254e+07	0.00194311	2.3254e+07	-2.98023e-08	-2.98023e-08	0
9400000	0.01143	2.34993e+07	0.00320411	2.34993e+07	0.00194788	2.34993e+07	-1.49012e-08	-1.49012e-08	0
9500000	0.0115931	2.375e+07	0.00323296	2.375e+07	0.00198293	2.375e+07	1.15484e-07	1.11759e-07	-3.72529e-09
9600000	0.011708	2.4007e+07	0.00328898	2.4007e+07	0.00200415	2.4007e+07	-1.08033e-07	-1.08033e-07	0
9700000	0.011929	2.42533e+07	0.00329113	2.42533e+07	0.00204778	2.42533e+07	-5.96046e-08	-6.33299e-08	-3.72529e-09
9800000	0.012002	2.45102e+07	0.00332808	2.45102e+07	0.00205684	2.45102e+07	-3.72529e-08	-4.09782e-08	-3.72529e-09
9900000	0.0121658	2.47491e+07	0.00334382	2.47491e+07	0.00213003	2.47491e+07	-4.84288e-08	-4.84288e-08	0
10000000	0.012361	2.49989e+07	0.00339389	2.49989e+07	0.00213408	2.49989e+07	7.45058e-08	8.56817e-08	1.11759e-08
