ArraySize	BinarySumTime	BinarySumTotal	ParallelSumTime	ParallelSumTotal	FastSumTime	FastSumTotal	BinParDiff	BinFastDiff	ParFastDiff
1000000	0.00340104	2.50003e+06	0.000120878	2.50003e+06	8.82149e-05	2.50003e+06	1.39698e-09	1.86265e-09	4.65661e-10
1100000	0.00242782	2.74929e+06	0.000126839	2.74929e+06	9.5129e-05	2.74929e+06	-4.65661e-10	0	4.65661e-10
1200000	0.00172687	3.00025e+06	0.000129938	3.00025e+06	0.000102997	3.00025e+06	-1.86265e-09	-2.32831e-09	-4.65661e-10
1300000	0.00177407	3.24947e+06	0.000123978	3.24947e+06	0.000108957	3.24947e+06	1.86265e-09	1.39698e-09	-4.65661e-10
1400000	0.0018599	3.50016e+06	0.000128984	3.50016e+06	0.000117064	3.50016e+06	3.25963e-09	3.72529e-09	4.65661e-10
1500000	0.00198293	3.7517e+06	0.000149965	3.7517e+06	0.000123978	3.7517e+06	-6.51926e-09	-6.0536e-09	4.65661e-10
1600000	0.0020678	3.99833e+06	0.000164032	3.99833e+06	0.000132084	3.99833e+06	-1.11759e-08	-1.11759e-08	0
1700000	0.00218081	4.25074e+06	0.000162125	4.25074e+06	0.000138044	4.25074e+06	-1.11759e-08	-1.11759e-08	0
1800000	0.00222492	4.50223e+06	0.000167131	4.50223e+06	0.000149965	4.50223e+06	1.49012e-08	1.67638e-08	1.86265e-09
1900000	0.00235605	4.74753e+06	0.000178099	4.74753e+06	0.000154972	4.74753e+06	-3.72529e-09	-3.72529e-09	0
2000000	0.00245309	5.00233e+06	0.000189066	5.00233e+06	0.000161886	5.00233e+06	-8.3819e-09	-7.45058e-09	9.31323e-10
2100000	0.00253701	5.25232e+06	0.000196934	5.25232e+06	0.000169992	5.25232e+06	1.95578e-08	1.86265e-08	-9.31323e-10
2200000	0.00272703	5.50016e+06	0.000213146	5.50016e+06	0.00017786	5.50016e+06	-1.02445e-08	-9.31323e-09	9.31323e-10
2300000	0.00282502	5.74745e+06	0.000221014	5.74745e+06	0.000184059	5.74745e+06	0	0	0
2400000	0.00298619	5.99537e+06	0.000239849	5.99537e+06	0.000193119	5.99537e+06	1.67638e-08	1.58325e-08	-9.31323e-10
2500000	0.00308895	6.2474e+06	0.000257015	6.2474e+06	0.00019908	6.2474e+06	-2.04891e-08	-2.04891e-08	0
2600000	0.00318789	6.50231e+06	0.000271082	6.50231e+06	0.000211954	6.50231e+06	4.00469e-08	3.91155e-08	-9.31323e-10
2700000	0.00334406	6.75321e+06	0.00032711	6.75321e+06	0.000229836	6.75321e+06	-1.39698e-08	-1.49012e-08	-9.31323e-10
2800000	0.00348401	7.00317e+06	0.00036788	7.00317e+06	0.000245094	7.00317e+06	1.21072e-08	1.39698e-08	1.86265e-09
2900000	0.00364995	7.24932e+06	0.00039506	7.24932e+06	0.000255108	7.24932e+06	-2.42144e-08	-2.32831e-08	9.31323e-10
3000000	0.00372386	7.49921e+06	0.000452995	7.49921e+06	0.000285149	7.49921e+06	1.21072e-08	1.11759e-08	-9.31323e-10
3100000	0.00391412	7.74886e+06	0.000495911	7.74886e+06	0.00032115	7.74886e+06	3.72529e-09	9.31323e-10	-2.79397e-09
3200000	0.00401711	8.00172e+06	0.000597	8.00172e+06	0.000360012	8.00172e+06	-4.37722e-08	-4.65661e-08	-2.79397e-09
3300000	0.00411296	8.24853e+06	0.000642061	8.24853e+06	0.000372887	8.24853e+06	9.31323e-09	1.11759e-08	1.86265e-09
3400000	0.00427294	8.50254e+06	0.000705004	8.50254e+06	0.000408173	8.50254e+06	-7.45058e-09	-9.31323e-09	-1.86265e-09
3500000	0.00443316	8.7514e+06	0.000816107	8.7514e+06	0.000424862	8.7514e+06	-2.42144e-08	-2.42144e-08	0
3600000	0.00453901	9.00071e+06	0.000898123	9.00071e+06	0.000491858	9.00071e+06	5.58794e-09	5.58794e-09	0
3700000	0.00467706	9.25165e+06	0.000959873	9.25165e+06	0.000515223	9.25165e+06	3.35276e-08	3.35276e-08	0
3800000	0.00477195	9.50508e+06	0.00102019	9.50508e+06	0.000545025	9.50508e+06	1.86265e-08	1.67638e-08	-1.86265e-09
3900000	0.00492692	9.75055e+06	0.00111604	9.75055e+06	0.000584841	9.75055e+06	-1.11759e-08	-9.31323e-09	1.86265e-09
4000000	0.00503397	1.00012e+07	0.0011611	1.00012e+07	0.000623941	1.00012e+07	3.72529e-09	1.86265e-09	-1.86265e-09
4100000	0.00516915	1.02465e+07	0.00125504	1.02465e+07	0.00064683	1.02465e+07	-1.30385e-08	-1.30385e-08	0
4200000	0.00529504	1.0503e+07	0.00130796	1.0503e+07	0.000671864	1.0503e+07	1.86265e-08	1.67638e-08	-1.86265e-09
4300000	0.00544095	1.07432e+07	0.001369	1.07432e+07	0.000724077	1.07432e+07	2.6077e-08	2.42144e-08	-1.86265e-09
4400000	0.00554585	1.09997e+07	0.00143409	1.09997e+07	0.000737906	1.09997e+07	-1.67638e-08	-1.67638e-08	0
4500000	0.00569582	1.12478e+07	0.00150704	1.12478e+07	0.000782967	1.12478e+07	1.86265e-08	1.49012e-08	-3.72529e-09
4600000	0.00582504	1.15046e+07	0.00155711	1.15046e+07	0.000797987	1.15046e+07	1.67638e-08	1.67638e-08	0
4700000	0.00590205	1.17518e+07	0.00159693	1.17518e+07	0.000806093	1.17518e+07	1.86265e-08	2.04891e-08	1.86265e-09
4800000	0.00604105	1.2003e+07	0.00165582	1.2003e+07	0.000850201	1.2003e+07	7.63685e-08	8.00937e-08	3.72529e-09
4900000	0.00616217	1.22489e+07	0.00172901	1.22489e+07	0.000895977	1.22489e+07	-5.58794e-09	-7.45058e-09	-1.86265e-09
5000000	0.00629902	1.25003e+07	0.00177193	1.25003e+07	0.00092411	1.25003e+07	-7.63685e-08	-7.45058e-08	1.86265e-09
5100000	0.00640392	1.27474e+07	0.00179911	1.27474e+07	0.000941038	1.27474e+07	-9.31323e-09	-1.11759e-08	-1.86265e-09
5200000	0.00565314	1.30005e+07	0.000789881	1.30005e+07	0.000485182	1.30005e+07	2.79397e-08	2.98023e-08	1.86265e-09
5300000	0.00568795	1.32425e+07	0.000707865	1.32425e+07	0.000490189	1.32425e+07	-5.96046e-08	-5.96046e-08	0
5400000	0.00576997	1.35005e+07	0.000705957	1.35005e+07	0.00051713	1.35005e+07	-1.30385e-08	-1.49012e-08	-1.86265e-09
5500000	0.00586295	1.37444e+07	0.000731945	1.37444e+07	0.000509977	1.37444e+07	3.91155e-08	3.72529e-08	-1.86265e-09
5600000	0.00596404	1.40047e+07	0.000725031	1.40047e+07	0.000519991	1.40047e+07	-9.31323e-08	-9.49949e-08	-1.86265e-09
5700000	0.006073	1.42477e+07	0.000760794	1.42477e+07	0.000536203	1.42477e+07	4.47035e-08	4.28408e-08	-1.86265e-09
5800000	0.0062201	1.44961e+07	0.000756979	1.44961e+07	0.000550032	1.44961e+07	4.47035e-08	4.65661e-08	1.86265e-09
5900000	0.00630999	1.47473e+07	0.000775099	1.47473e+07	0.000558853	1.47473e+07	-2.04891e-08	-2.04891e-08	0
6000000	0.00643492	1.50033e+07	0.000801086	1.50033e+07	0.000576973	1.50033e+07	-3.72529e-08	-3.53903e-08	1.86265e-09
6100000	0.00653601	1.52435e+07	0.000838041	1.52435e+07	0.000576973	1.52435e+07	-6.14673e-08	-6.14673e-08	0
6200000	0.00663304	1.54995e+07	0.000838041	1.54995e+07	0.0006001	1.54995e+07	-3.72529e-09	-3.72529e-09	0
6300000	0.00679684	1.57497e+07	0.000876188	1.57497e+07	0.000623941	1.57497e+07	2.6077e-08	2.6077e-08	0
6400000	0.00687599	1.59985e+07	0.000880003	1.59985e+07	0.000623941	1.59985e+07	-6.51926e-08	-6.51926e-08	0
6500000	0.00707316	1.62491e+07	0.000933886	1.62491e+07	0.000657082	1.62491e+07	-1.11759e-08	-1.49012e-08	-3.72529e-09
6600000	0.00717187	1.65013e+07	0.000960112	1.65013e+07	0.00068593	1.65013e+07	5.21541e-08	5.02914e-08	-1.86265e-09
6700000	0.00730705	1.67552e+07	0.00104904	1.67552e+07	0.000691175	1.67552e+07	-3.72529e-09	-7.45058e-09	-3.72529e-09
6800000	0.007442	1.69991e+07	0.00103498	1.69991e+07	0.000715017	1.69991e+07	3.72529e-09	7.45058e-09	3.72529e-09
6900000	0.00753403	1.72474e+07	0.00107288	1.72474e+07	0.000743151	1.72474e+07	6.70552e-08	6.33299e-08	-3.72529e-09
7000000	0.0076499	1.74967e+07	0.00110292	1.74967e+07	0.000766993	1.74967e+07	-3.72529e-08	-3.72529e-08	0
7100000	0.007761	1.7753e+07	0.00115919	1.7753e+07	0.00077796	1.7753e+07	-1.45286e-07	-1.41561e-07	3.72529e-09
7200000	0.00787711	1.79954e+07	0.00122285	1.79954e+07	0.000822067	1.79954e+07	1.49012e-08	1.49012e-08	0
7300000	0.00808311	1.82527e+07	0.00126696	1.82527e+07	0.000823021	1.82527e+07	5.58794e-08	5.21541e-08	-3.72529e-09
7400000	0.00808191	1.85018e+07	0.00129414	1.85018e+07	0.000867844	1.85018e+07	-1.04308e-07	-1.04308e-07	0
7500000	0.00827003	1.87432e+07	0.00130391	1.87432e+07	0.000840902	1.87432e+07	3.35276e-08	3.35276e-08	0
7600000	0.00830483	1.89964e+07	0.00136185	1.89964e+07	0.000916958	1.89964e+07	7.45058e-09	1.49012e-08	7.45058e-09
7700000	0.0084641	1.9256e+07	0.00138998	1.9256e+07	0.000896931	1.9256e+07	-6.70552e-08	-6.33299e-08	3.72529e-09
7800000	0.00856209	1.95004e+07	0.001436	1.95004e+07	0.000945091	1.95004e+07	-1.71363e-07	-1.71363e-07	0
7900000	0.00865602	1.9757e+07	0.00149584	1.9757e+07	0.000949144	1.9757e+07	-1.52737e-07	-1.56462e-07	-3.72529e-09
8000000	0.0088079	2.00024e+07	0.00150681	2.00024e+07	0.000982046	2.00024e+07	2.23517e-08	1.86265e-08	-3.72529e-09
8100000	0.00895214	2.0257e+07	0.00155902	2.0257e+07	0.000994921	2.0257e+07	-7.45058e-09	-3.72529e-09	3.72529e-09
8200000	0.00900316	2.05062e+07	0.00590086	2.05062e+07	0.00114512	2.05062e+07	-1.56462e-07	-1.52737e-07	3.72529e-09
8300000	0.0146408	2.07523e+07	0.00193	2.07523e+07	0.00114918	2.07523e+07	7.82311e-08	7.82311e-08	0
8400000	0.00882792	2.09968e+07	0.00199986	2.09968e+07	0.00115108	2.09968e+07	-2.98023e-08	-2.98023e-08	0
8500000	0.00888991	2.12548e+07	0.00201392	2.12548e+07	0.00117898	2.12548e+07	-3.72529e-08	-3.72529e-08	0
8600000	0.00902605	2.14995e+07	0.00204897	2.14995e+07	0.00121212	2.14995e+07	-7.07805e-08	-6.70552e-08	3.72529e-09
8700000	0.00909495	2.17382e+07	0.00206995	2.17382e+07	0.00121307	2.17382e+07	-6.70552e-08	-7.07805e-08	-3.72529e-09
8800000	0.00917983	2.20045e+07	0.00216508	2.20045e+07	0.00124192	2.20045e+07	-1.52737e-07	-1.49012e-07	3.72529e-09
8900000	0.00931191	2.22579e+07	0.00213695	2.22579e+07	0.00122595	2.22579e+07	-4.09782e-08	-3.72529e-08	3.72529e-09
9000000	0.00945401	2.2504e+07	0.00220704	2.2504e+07	0.00128984	2.2504e+07	-6.33299e-08	-7.07805e-08	-7.45058e-09
9100000	0.00956106	2.27559e+07	0.00224781	2.27559e+07	0.00133109	2.27559e+07	1.00583e-07	1.00583e-07	0
9200000	0.00973892	2.29887e+07	0.00226903	2.29887e+07	0.00130296	2.29887e+07	-1.41561e-07	-1.45286e-07	-3.72529e-09
9300000	0.00977302	2.3254e+07	0.002316	2.3254e+07	0.00131893	2.3254e+07	2.98023e-08	2.98023e-08	0
9400000	0.00988793	2.34993e+07	0.00237989	2.34993e+07	0.00138402	2.34993e+07	4.84288e-08	5.21541e-08	3.72529e-09
9500000	0.00993514	2.375e+07	0.00237489	2.375e+07	0.00137115	2.375e+07	2.5332e-07	2.49594e-07	-3.72529e-09
9600000	0.0101051	2.4007e+07	0.00251484	2.4007e+07	0.00143909	2.4007e+07	-2.34693e-07	-2.34693e-07	0
9700000	0.010144	2.42533e+07	0.00246692	2.42533e+07	0.00142908	2.42533e+07	4.17233e-07	4.20958e-07	3.72529e-09
9800000	0.0102479	2.45102e+07	0.00248909	2.45102e+07	0.00141501	2.45102e+07	-2.6077e-08	-2.98023e-08	-3.72529e-09
9900000	0.010381	2.47491e+07	0.0024941	2.47491e+07	0.00143695	2.47491e+07	-4.47035e-08	-4.47035e-08	0
10000000	0.01052	2.49989e+07	0.00255394	2.49989e+07	0.00145316	2.49989e+07	-3.72529e-08	-3.35276e-08	3.72529e-09
