1000,10,0.040383
1000,20,0.081981
1000,30,0.121446
1000,40,0.161615
1000,50,0.203084
1000,60,0.244814
1000,70,0.283001
1000,80,0.32446
1000,90,0.364295
2000,10,0.163727
2000,20,0.327962
2000,30,0.491216
2000,40,0.656089
2000,50,0.819416
2000,60,0.983275
2000,70,1.239781
2000,80,1.308769
2000,90,1.482942
3000,10,0.364568
3000,20,0.729215
3000,30,1.093887
3000,40,1.459397
3000,50,1.825542
3000,60,2.197727
3000,70,2.556924
3000,80,2.917633
3000,90,3.290708
4000,10,0.659517
4000,20,1.310728
4000,30,1.976844
4000,40,2.621661
4000,50,3.30629
4000,60,3.940713
4000,70,4.649876
4000,80,5.36065
4000,90,5.98799
5000,10,1.019067
5000,20,2.052145
5000,30,3.044646
5000,40,4.053678
5000,50,5.069139
5000,60,6.076821
5000,70,7.099218
5000,80,8.118803
5000,90,9.168894
6000,10,1.492024
6000,20,2.988
6000,30,4.425616
6000,40,5.93232
6000,50,7.43237
6000,60,8.96702
6000,70,10.453952
6000,80,11.926353
6000,90,13.323052
7000,10,1.986887
7000,20,3.987212
7000,30,5.95353
7000,40,7.936631
7000,50,9.922974
7000,60,11.910601
7000,70,13.892823
7000,80,15.883047
7000,90,17.854989
8000,10,2.619242
8000,20,5.238367
8000,30,7.860034
8000,40,10.483838
8000,50,13.099501
8000,60,15.731233
8000,70,18.348791
8000,80,21.037027
8000,90,23.666759
9000,10,3.313965
9000,20,6.618116
9000,30,9.932596
9000,40,13.24742
9000,50,18.51965
9000,60,21.265258
9000,70,23.390912
9000,80,26.577119
9000,90,29.741985
10000,10,4.088866
10000,20,8.183786
10000,30,12.273861
10000,40,16.385102
10000,50,20.4667
10000,60,24.558563
10000,70,28.658185
10000,80,32.809844
10000,90,36.885275
